postcode,total_lodgements,avg_weekly_rent,median_weekly_rent,total_refunds,avg_days_bond_held,median_days_bond_held,avg_payment_to_tenant,bonds_held,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population,refund_to_lodgement_ratio,rent_pressure_score
2829,50,277.0,280.0,60.0,955.8,682.0,534.02,218,881.43,1.0,886.8,1.0,2965.0,1.2,0.32
2830,1735,499.63,500.0,1624.0,924.25,596.0,1208.38,5719,996.56,5.0,967.4,5.0,44963.0,0.94,0.5
2831,11,380.91,360.0,15.0,1439.4,726.0,1082.73,76,1005.09,6.0,978.5,6.0,1845.0,1.36,0.36
2832,30,286.87,270.0,42.0,1277.95,503.0,931.83,155,924.52,2.0,933.95,3.0,2149.0,1.4,0.29
2833,13,210.62,208.0,13.0,1136.15,659.0,546.69,42,837.21,1.0,864.66,1.0,634.0,1.0,0.25
2834,35,285.89,279.0,43.0,1302.86,781.0,731.47,275,826.86,1.0,836.85,1.0,1984.0,1.23,0.34
2835,164,299.5,300.0,231.0,1002.6,653.0,695.16,661,966.11,3.0,936.25,3.0,3793.0,1.41,0.31
2836,10,151.6,125.0,11.0,902.09,379.0,403.64,51,786.88,1.0,855.32,1.0,895.0,1.1,0.16
2838,3,169.67,180.0,0.0,971.94,602.0,1574.63,3,742.76,1.0,815.76,1.0,223.0,0.0,0.24
2839,17,237.94,250.0,21.0,678.86,406.0,890.86,73,826.87,1.0,872.13,1.0,1079.0,1.24,0.3
2840,80,303.36,300.0,78.0,812.64,513.5,675.6,235,947.08,3.0,954.38,4.0,2389.0,0.98,0.32
2842,3,286.67,260.0,2.0,843.0,843.0,660.0,26,892.16,1.0,893.74,2.0,720.0,0.67,0.29
2843,20,352.5,350.0,24.0,683.96,466.0,859.38,86,959.13,3.0,939.32,3.0,1262.0,1.2,0.36
2844,29,429.14,400.0,20.0,1245.3,880.0,1109.6,100,948.75,3.0,934.98,3.0,1312.0,0.69,0.42
2845,50,460.2,480.0,44.0,795.7,479.5,1230.2,146,935.13,2.0,902.53,2.0,2019.0,0.88,0.51
