postcode,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population
2370,906.60073615,1.0,891.18897984,1.0,7785.0
2371,896.48449864,1.0,884.43860535,1.0,1158.0
2372,935.50039245,2.0,913.72089242,2.0,4789.0
2379,1011.6986837,6.0,1006.563243,7.0,291.0
2380,965.75826642,3.0,938.75546697,3.0,11118.0
2381,952.14448861,3.0,937.29011019,3.0,1302.0
2382,928.17659624,2.0,898.52120719,2.0,1381.0
2386,1038.3772697,8.0,1017.3031723,7.0,293.0
2387,1011.8492841,6.0,1002.0302145,7.0,201.0
2388,942.13894381,2.0,921.0694487,3.0,2554.0
2390,978.00504863,4.0,947.40483707,4.0,8540.0
2395,855.70738954,1.0,850.2828214,1.0,725.0
2396,898.11890422,1.0,883.49806133,1.0,834.0
2397,984.00243879,4.0,975.04324683,5.0,286.0
2398,1036.2762786,7.0,1002.5747474,7.0,248.0
2399,974.92349629,4.0,942.14815941,4.0,623.0
2400,952.93734979,3.0,938.10319557,3.0,9708.0
2401,985.95440786,4.0,967.93010403,5.0,299.0
2402,918.70723804,2.0,898.56445673,2.0,1745.0
2403,942.6355795,2.0,921.33788226,3.0,719.0
2404,940.22626526,2.0,912.29992572,2.0,1676.0
2405,976.09030763,4.0,977.95376435,5.0,500.0
2406,937.08199217,2.0,936.64725835,3.0,705.0
2408,1073.4411454,9.0,1056.4151333,9.0,310.0
2409,772.81938003,1.0,829.88134149,1.0,1072.0
2410,946.07228098,3.0,935.07934023,3.0,240.0
2411,1082.6327606,10.0,1064.1779635,9.0,104.0
2415,989.06094466,5.0,956.85133681,4.0,429.0
2420,975.12566081,4.0,943.71523103,4.0,4016.0
2421,1057.9132657,9.0,1023.4880788,8.0,2069.0
2422,939.64847706,2.0,911.31507092,2.0,5608.0
2423,928.56311481,2.0,895.69033449,2.0,3297.0
2424,898.91168917,1.0,888.05721252,1.0,480.0
2425,979.17911371,4.0,947.28046269,4.0,2018.0
2426,944.4808294,2.0,905.62106402,2.0,850.0
2427,947.69371372,3.0,911.41139937,2.0,3463.0
2428,947.18971736,3.0,913.89279277,2.0,25187.0
2429,934.49029631,2.0,902.93694926,2.0,9650.0
2430,931.01442052,2.0,904.91905746,2.0,36841.0
2431,957.54780043,3.0,917.51027458,2.0,5628.0
2439,996.53027838,5.0,946.82876086,4.0,4031.0
2440,887.98811039,1.0,869.82114435,1.0,23166.0
2441,942.62026137,2.0,919.300166,2.0,4288.0
2443,936.45282362,2.0,903.90929949,2.0,8739.0
2444,992.30072428,5.0,971.36047493,5.0,51117.0
2445,1014.5925561,6.0,982.44437545,6.0,7350.0
2446,968.40260973,4.0,934.22252451,3.0,15054.0
2447,941.62288642,2.0,914.19498961,2.0,7809.0
2448,914.77275719,2.0,894.24935171,2.0,9618.0
2449,868.29719808,1.0,859.83661832,1.0,2165.0
2450,972.11749755,4.0,956.85191164,4.0,47335.0
2452,956.40411476,3.0,928.35245458,3.0,15260.0
2453,967.61568457,4.0,948.09098381,4.0,2787.0
2454,992.82207741,5.0,976.4205508,5.0,7953.0
2455,947.19219494,3.0,919.53780081,2.0,3185.0
2456,982.59512208,4.0,965.17907284,5.0,17141.0
2460,924.77923762,2.0,896.83605722,2.0,31079.0
2462,925.15923155,2.0,888.20446898,1.0,2529.0
2463,963.75569619,3.0,928.141418,3.0,8304.0
2464,997.72061159,5.0,964.80341061,5.0,7058.0
2465,904.31168401,1.0,882.94734927,1.0,346.0
2466,902.57818402,1.0,874.80292102,1.0,1765.0
2469,892.93783656,1.0,876.92209655,1.0,4359.0
2470,911.18272467,2.0,878.48760976,1.0,15477.0
2471,954.58994087,3.0,922.50745975,3.0,2821.0
2472,943.39112155,2.0,907.93655219,2.0,1987.0
2473,958.7596705,3.0,931.11057098,3.0,3203.0
2474,925.01141913,2.0,908.08898873,2.0,6492.0
2475,873.30306847,1.0,856.81592775,1.0,399.0
2476,952.66739007,3.0,927.64259216,3.0,847.0
2477,1015.8035801,6.0,988.32792349,6.0,12899.0
2478,1012.7971591,6.0,995.93594342,6.0,32053.0
2479,1070.7771413,9.0,1080.2164821,9.0,5780.0
2480,968.28436263,4.0,948.3068119,4.0,45938.0
2481,1029.2896162,7.0,1047.4949312,8.0,13659.0
2482,990.3490591,5.0,988.51160886,6.0,6967.0
2483,1000.1725545,5.0,991.64484117,6.0,11616.0
2484,967.08671933,3.0,945.39261718,4.0,20083.0
2485,958.58073711,3.0,936.14326717,3.0,15349.0
2486,984.99241754,4.0,955.57401924,4.0,32838.0
2487,1029.0401909,7.0,1024.1729382,8.0,15090.0
2488,1015.6517585,6.0,996.86675091,6.0,3523.0
2489,1023.8287505,7.0,1003.5154633,7.0,7894.0
2490,1036.4758896,7.0,1001.5070958,7.0,690.0
2500,1006.2738149,6.0,1025.6241747,8.0,43472.0
2502,850.53113835,1.0,864.61549723,1.0,12551.0
2505,930.47720741,2.0,932.98661009,3.0,5088.0
2506,885.11040879,1.0,877.01327176,1.0,7798.0
2508,1087.3568934,10.0,1084.5566765,9.0,9346.0
2515,1095.5582186,10.0,1113.2638399,10.0,11745.0
2516,1059.9713535,9.0,1073.9094237,9.0,6798.0
2517,1027.8282648,7.0,1026.0165991,8.0,13959.0
2518,967.81137501,4.0,969.55150142,5.0,19864.0
2519,1011.5500766,6.0,1018.3324349,7.0,17227.0
2525,1054.1360883,8.0,1049.8314292,8.0,12335.0
2526,1015.7468876,6.0,1007.215009,7.0,16736.0
2527,1005.1899941,6.0,973.68362892,5.0,26072.0
2528,904.01589901,1.0,888.60867379,1.0,23735.0
2529,1022.7589579,7.0,1006.1065192,7.0,29134.0
2530,993.10411745,5.0,965.07037195,5.0,35038.0
2533,1068.024344,9.0,1059.1229159,9.0,17177.0
